Source,T (yyy-mm-dd hh:mm:ss),x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,q0,q1,q2,q3
AROW (NASA),2026-04-01 22:30:31.9,304.010385,5595.055443,3036.750133,-0.4081272,0.02157984,0.0010668,0.704105079,0.171099022,-0.179621637,0.665354967
AROW (NASA),2026-04-01 22:35:33.0,181.0793343,5601.143907,3037.586358,-0.413004,0.10841736,0.05519928,0.423465133,0.537244022,0.280361414,0.673382223
AROW (NASA),2026-04-01 22:36:33.0,148.0483783,5616.854125,3046.070835,-0.8266176,0.4379976,0.23807928,0.209774956,0.368416995,0.465129107,0.777121782
AROW (NASA),2026-04-01 22:37:33.0,65.85618041,5652.267498,3065.563032,-1.7696688,0.5800344,0.3212592,0.136225939,0.229536518,0.493398279,0.827836692
AROW (NASA),2026-04-01 22:38:33.0,-57.85122505,5680.405447,3081.216913,-2.3740872,0.3578352,0.20064984,0.108805165,0.183881357,0.500395775,0.83901912
AROW (NASA),2026-04-01 22:39:32.0,-218.9585406,5694.57167,3089.286105,-3.112008,0.12097512,0.07260336,0.083111651,0.141224474,0.505019188,0.847410023
AROW (NASA),2026-04-01 22:40:32.0,-432.5869238,5694.287663,3089.582522,-4.047744,-0.13389864,-0.06437376,0.057984717,0.09968885,0.511207998,0.851684391
AROW (NASA),2026-04-01 22:41:32.0,-710.1969525,5677.945543,3081.291451,-5.269992,-0.417576,-0.21512784,0.035494827,0.062739961,0.510713875,0.856723487
AROW (NASA),2026-04-01 22:42:32.0,-1074.728299,5643.046197,3063.202631,-6.958584,-0.762,-0.39624,0.01158266,0.022878934,0.509359777,0.860171497
AROW (NASA),2026-04-01 22:43:33.0,-1549.168799,5582.591701,3031.599385,-8.177784,-1.2335256,-0.6489192,-0.016193161,-0.019971013,0.521448791,0.852895141
AROW (NASA),2026-04-01 22:44:33.0,-2035.379246,5494.406384,2984.954193,-8.025384,-1.7035272,-0.9046464,-0.031934902,-0.067999028,0.650115192,0.756112814
AROW (NASA),2026-04-01 22:45:33.0,-2511.374,5378.507227,2923.209393,-7.836408,-2.1567648,-1.1518392,-0.048601225,-0.157391205,0.710888386,0.683742344
AROW (NASA),2026-04-01 22:46:34.0,-2982.532823,5233.386393,2845.560363,-7.607808,-2.5981152,-1.3923264,-0.059161864,-0.188822135,0.701421142,0.684729517
AROW (NASA),2026-04-01 22:47:37.0,-3453.441946,5055.97344,2750.351458,-7.336536,-3.0306264,-1.6282416,-0.06791275,-0.216156214,0.690244675,0.687187493
AROW (NASA),2026-04-01 22:48:38.0,-3892.228464,4858.973855,2644.405523,-7.043928,-3.425952,-1.8434304,-0.074588984,-0.237567693,0.677410901,0.692179561
AROW (NASA),2026-04-01 22:49:39.0,-4312.380702,4638.681184,2525.744877,-6.726936,-3.79476,-2.0449032,-0.079829432,-0.260140479,0.672958195,0.687809169
AROW (NASA),2026-04-01 22:50:40.0,-4712.373738,4396.682552,2395.228237,-6.38556,-4.136136,-2.2320504,-0.086875312,-0.275394678,0.675515592,0.678446114
AROW (NASA),2026-04-01 22:51:40.0,-5084.84508,4139.057509,2256.148592,-6.028944,-4.447032,-2.401824,-0.078560106,-0.241788983,0.684537709,0.683209002
